"Timestamp","Sex","Age","Highest completed level of education","Do you have a significant other?","Which one do you prefer most?","How many sexual partners have you had in the past year ","Would you consider yourself sexually adventurous?","What type of snacks do you prefer?"
"2018/11/14 3:10:19 PM GMT+1","Male","24","Bachelor","No","Cuddling","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 3:22:12 PM GMT+1","Male","38","PhD","Yes","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 3:23:21 PM GMT+1","Female","22","Bachelor","Yes","Sex","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 3:23:49 PM GMT+1","Female","20","High school","No","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 3:24:01 PM GMT+1","Male","17","High school","No","Cuddling","0","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 3:24:14 PM GMT+1","Male","20","High school","No","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 3:25:54 PM GMT+1","Female","31","Bachelor","Yes","Sex","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 3:27:54 PM GMT+1","Female","26","Bachelor","No","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 3:30:32 PM GMT+1","Male","41","PhD","Yes","Sex","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 3:30:47 PM GMT+1","Male","22","High school","No","Sex","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 3:31:51 PM GMT+1","Female","18","High school","Yes","Sex","2","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 3:34:08 PM GMT+1","Male","24","High school","No","Sex","0","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 3:35:27 PM GMT+1","Male","32","Bachelor","Yes","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 3:38:26 PM GMT+1","Female","30","High school","Yes","Sex","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 3:38:43 PM GMT+1","Male","23","Bachelor","Yes","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 3:41:15 PM GMT+1","Female","23","Masters","Yes","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 3:41:42 PM GMT+1","Male","33","Masters","No","Sex","2","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 3:42:07 PM GMT+1","Male","","High school","No","Cuddling","3","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 3:42:14 PM GMT+1","Male","26","High school","Yes","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 3:42:21 PM GMT+1","Male","18","High school","Yes","Cuddling","3","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 3:42:41 PM GMT+1","Female","19","High school","Maybe","Sex","2","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 3:43:32 PM GMT+1","Male","25","Bachelor","Yes","Cuddling","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 3:43:32 PM GMT+1","Female","18","High school","Yes","Cuddling","2","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 3:44:15 PM GMT+1","Male","20","Bachelor","Yes","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 3:44:16 PM GMT+1","Male","38","Bachelor","No","Sex","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 3:45:35 PM GMT+1","Male","21","High school","No","Cuddling","0","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 3:46:48 PM GMT+1","Male","35","Bachelor","Yes","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 3:47:09 PM GMT+1","Female","29","High school","Yes","Sex","4","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 3:48:00 PM GMT+1","Female","23","Bachelor","Yes","Cuddling","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 3:48:19 PM GMT+1","Male","23","","No","Sex","3","Yes","Sweet Snacks (Cookies, Candy, etc)"
